pair_name,pair_1,pair_2,beta,diff,end_cash,high_sigma,low_sigma,lag
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,435.9196783657481,2,-4,300
XLM/XMR,XLMUSD,XMRUSD,0.0011363454819333,-0.259765711741363,426.46489869096024,4,-2,72
LINK/AAVE,LINKUSD,AAVEUSD,0.0839738621801392,-0.5573878286806986,425.8752651062217,2,-4,300
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,424.1507121612375,2,-4,300
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,423.6261147127287,3,-3,72
AAVE/XMR,AAVEUSD,XMRUSD,0.9425705544462912,-0.6599596685043312,416.51468198560775,3,-3,72
AAVE/LINK,AAVEUSD,LINKUSD,11.07888047467786,-0.549319139494286,414.71674180115167,4,-2,300
XLM/AAVE,XLMUSD,AAVEUSD,0.0011540617622239,-2.217462131673629,414.23753332985416,4,-3,300
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,414.1818564765687,1,-2,72
XMR/XLM,XMRUSD,XLMUSD,740.6805974684551,-0.0847290556398516,404.75077930611604,2,-2,72
LTC/DOT,LTCUSD,DOTUSD,6.73057728414833,-0.8575878653922269,404.47590516329524,4,-4,700
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,402.5185228972776,4,-1,72
DOGE/SOL,DOGEUSD,SOLUSD,0.0012281602380772,-0.0070764089485764,401.9370716197911,3,-3,72
LTC/DOT,LTCUSD,DOTUSD,6.73057728414833,-0.8575878653922269,401.7431201736436,3,-3,700
LINK/UNI,LINKUSD,UNIUSD,1.2263243295516773,-0.1734419356361618,401.33716059500836,3,-4,300
LTC/DOT,LTCUSD,DOTUSD,6.73057728414833,-0.8575878653922269,398.957709539786,2,-3,700
LTC/UNI,LTCUSD,UNIUSD,8.276165969091723,-1.135834858093716,398.89724418011184,4,-4,300
LINK/UNI,LINKUSD,UNIUSD,1.2263243295516773,-0.1734419356361618,398.55693024966433,4,-2,700
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,394.08528853474826,1,-4,72
AAVE/LINK,AAVEUSD,LINKUSD,11.07888047467786,-0.549319139494286,393.79718333135617,3,-1,300
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,389.62398478555394,1,-3,72
XMR/UNI,XMRUSD,UNIUSD,12.621776456556798,-0.7008694859957951,387.82041927235315,3,-4,72
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,386.53363531054714,1,-3,300
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,385.23004695531404,3,-4,300
AAVE/XMR,AAVEUSD,XMRUSD,0.9425705544462912,-0.6599596685043312,380.2582618603101,3,-4,500
UNI/XMR,UNIUSD,XMRUSD,0.0636317225193446,-0.1723884656341803,378.8241055824895,1,-3,72
DOGE/SOL,DOGEUSD,SOLUSD,0.0012281602380772,-0.0070764089485764,378.24054159794343,4,-4,500
AAVE/LTC,AAVEUSD,LTCUSD,1.5700327787561603,-0.5344851868545364,377.3233838045203,4,-1,500
AVAX/DOGE,AVAXUSD,DOGEUSD,205.6057190540832,-0.2956776325019588,376.7596853356839,2,-1,500
AAVE/LTC,AAVEUSD,LTCUSD,1.5700327787561603,-0.5344851868545364,376.49784201063136,4,-2,300
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,376.4359598307257,3,-1,300
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,375.74079540801813,4,-4,300
LTC/AAVE,LTCUSD,AAVEUSD,0.5700140756295089,-0.6082084463267083,373.89323890107875,2,-3,500
LTC/DOT,LTCUSD,DOTUSD,6.73057728414833,-0.8575878653922269,369.3747189065174,2,-4,500
SHIB/NEAR,SHIBUSD,NEARUSD,3.73385503299114e-06,-0.4602551314343235,365.2139135818961,4,-3,300
AAVE/LINK,AAVEUSD,LINKUSD,11.07888047467786,-0.549319139494286,364.27853876974945,3,-4,500
UNI/XMR,UNIUSD,XMRUSD,0.0636317225193446,-0.1723884656341803,363.99133011476044,2,-3,72
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,360.98009840780475,3,-2,72
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,355.79016696971536,3,-1,72
LTC/DOT,LTCUSD,DOTUSD,6.73057728414833,-0.8575878653922269,353.0926925678443,2,-4,700
AAVE/XMR,AAVEUSD,XMRUSD,0.9425705544462912,-0.6599596685043312,353.08735499426365,3,-4,700
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,352.53960389415363,4,-2,72
AAVE/LINK,AAVEUSD,LINKUSD,11.07888047467786,-0.549319139494286,348.59490775208013,3,-4,700
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,348.5481509195669,2,-3,72
DOGE/SOL,DOGEUSD,SOLUSD,0.0012281602380772,-0.0070764089485764,346.9027061687533,3,-4,300
AAVE/XMR,AAVEUSD,XMRUSD,0.9425705544462912,-0.6599596685043312,344.9835642383986,2,-1,72
DOGE/SOL,DOGEUSD,SOLUSD,0.0012281602380772,-0.0070764089485764,344.1262693651524,4,-4,300
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,343.40997682504786,3,-2,700
XMR/XLM,XMRUSD,XLMUSD,740.6805974684551,-0.0847290556398516,342.6493707762543,2,-1,72
AAVE/LTC,AAVEUSD,LTCUSD,1.5700327787561603,-0.5344851868545364,342.18489610746803,4,-3,700
AAVE/XMR,AAVEUSD,XMRUSD,0.9425705544462912,-0.6599596685043312,341.7011013296034,4,-1,300
AAVE/LTC,AAVEUSD,LTCUSD,1.5700327787561603,-0.5344851868545364,339.65510258203074,4,-2,500
AAVE/LTC,AAVEUSD,LTCUSD,1.5700327787561603,-0.5344851868545364,339.23678375513725,4,-2,700
AAVE/LINK,AAVEUSD,LINKUSD,11.07888047467786,-0.549319139494286,337.59917111145654,3,-3,500
LTC/DOT,LTCUSD,DOTUSD,6.73057728414833,-0.8575878653922269,336.54069444509537,4,-3,500
LINK/UNI,LINKUSD,UNIUSD,1.2263243295516773,-0.1734419356361618,336.3787903543962,4,-3,700
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,334.8634280618574,2,-3,700
DOT/LTC,DOTUSD,LTCUSD,0.1236188396829178,-0.4247966851556892,334.0658824776647,4,-3,700
XMR/UNI,XMRUSD,UNIUSD,12.621776456556798,-0.7008694859957951,333.4286275065486,4,-1,72
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,332.92698608468856,2,-3,72
XLM/XMR,XLMUSD,XMRUSD,0.0011363454819333,-0.259765711741363,332.2905747855206,3,-2,72
AAVE/XLM,AAVEUSD,XLMUSD,824.6207944381999,-2.261462262827941,328.33551673204533,2,-4,500
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,326.75945644237277,4,-4,700
AAVE/LTC,AAVEUSD,LTCUSD,1.5700327787561603,-0.5344851868545364,326.6922491616716,3,-3,300
DOT/LTC,DOTUSD,LTCUSD,0.1236188396829178,-0.4247966851556892,325.60320597178423,3,-3,700
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,325.2193266979679,3,-1,300
AAVE/LINK,AAVEUSD,LINKUSD,11.07888047467786,-0.549319139494286,323.1531435974484,3,-2,300
SHIB/NEAR,SHIBUSD,NEARUSD,3.73385503299114e-06,-0.4602551314343235,323.1156801907834,3,-3,300
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,320.7630446707938,3,-2,700
XLM/AAVE,XLMUSD,AAVEUSD,0.0011540617622239,-2.217462131673629,319.2039319333028,4,-3,700
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,318.14429184373927,4,-4,300
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,317.82883970502803,2,-4,72
AAVE/LINK,AAVEUSD,LINKUSD,11.07888047467786,-0.549319139494286,317.8221270427047,4,-1,300
LINK/AAVE,LINKUSD,AAVEUSD,0.0839738621801392,-0.5573878286806986,310.7928887686358,4,-3,500
AAVE/LINK,AAVEUSD,LINKUSD,11.07888047467786,-0.549319139494286,310.3535205990242,3,-3,700
XLM/XMR,XLMUSD,XMRUSD,0.0011363454819333,-0.259765711741363,308.62298561787816,1,-2,72
NEAR/SHIB,NEARUSD,SHIBUSD,255921.29738542784,-0.2348603515693175,307.35220106344434,2,-4,72
LTC/AAVE,LTCUSD,AAVEUSD,0.5700140756295089,-0.6082084463267083,305.87216460500053,2,-2,300
LINK/AAVE,LINKUSD,AAVEUSD,0.0839738621801392,-0.5573878286806986,302.1164384892401,4,-4,500
LTC/DOT,LTCUSD,DOTUSD,6.73057728414833,-0.8575878653922269,297.7791599335573,3,-4,500
LTC/DOT,LTCUSD,DOTUSD,6.73057728414833,-0.8575878653922269,296.0832923954139,4,-4,300
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,295.8716918851875,1,-4,500
XMR/XLM,XMRUSD,XLMUSD,740.6805974684551,-0.0847290556398516,295.85038451381047,3,-3,72
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,295.57397709566584,3,-3,700
AAVE/LTC,AAVEUSD,LTCUSD,1.5700327787561603,-0.5344851868545364,294.51923642535945,4,-3,500
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,294.1997771780215,2,-1,500
LTC/DOT,LTCUSD,DOTUSD,6.73057728414833,-0.8575878653922269,292.80860268479427,4,-1,500
LINK/AAVE,LINKUSD,AAVEUSD,0.0839738621801392,-0.5573878286806986,291.7210671146124,2,-3,500
AAVE/LTC,AAVEUSD,LTCUSD,1.5700327787561603,-0.5344851868545364,291.71224496836936,2,-2,500
LTC/DOT,LTCUSD,DOTUSD,6.73057728414833,-0.8575878653922269,291.3417660913798,3,-4,700
LTC/AAVE,LTCUSD,AAVEUSD,0.5700140756295089,-0.6082084463267083,291.24446191503006,3,-4,300
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,290.7133935697053,1,-1,300
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,290.08548200288624,1,-2,700
AVAX/SOL,AVAXUSD,SOLUSD,0.2436604206667033,-0.0403604114066524,289.50729922251514,3,-4,72
LINK/AAVE,LINKUSD,AAVEUSD,0.0839738621801392,-0.5573878286806986,287.94647910509093,1,-3,300
XMR/UNI,XMRUSD,UNIUSD,12.621776456556798,-0.7008694859957951,287.89656198481964,4,-1,300
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,287.64868489724,3,-2,300
XLM/XMR,XLMUSD,XMRUSD,0.0011363454819333,-0.259765711741363,287.32207373827623,2,-3,72
AAVE/LINK,AAVEUSD,LINKUSD,11.07888047467786,-0.549319139494286,286.4940151940831,4,-4,500
AVAX/DOGE,AVAXUSD,DOGEUSD,205.6057190540832,-0.2956776325019588,281.796572908084,4,-4,72
UNI/XMR,UNIUSD,XMRUSD,0.0636317225193446,-0.1723884656341803,281.40035791887004,2,-1,72
LTC/ADA,LTCUSD,ADAUSD,122.75046607943167,-0.1170387725580659,280.2709275232479,3,-3,72
LTC/XMR,LTCUSD,XMRUSD,0.6063129564373205,-1.2237587542474435,279.8022418126158,3,-2,500
XMR/LTC,XMRUSD,LTCUSD,1.5270364926485724,-0.941040289826804,279.7593333760135,4,-1,500
AAVE/XMR,AAVEUSD,XMRUSD,0.9425705544462912,-0.6599596685043312,279.6746833285998,4,-2,500
AAVE/LTC,AAVEUSD,LTCUSD,1.5700327787561603,-0.5344851868545364,278.9450685949932,3,-1,500
DOGE/SOL,DOGEUSD,SOLUSD,0.0012281602380772,-0.0070764089485764,277.0852547325031,4,-3,72
XMR/AAVE,XMRUSD,AAVEUSD,0.8826694585036392,-0.9145400465969736,276.3368699703004,1,-4,300
LTC/DOT,LTCUSD,DOTUSD,6.73057728414833,-0.8575878653922269,274.0049458711361,3,-2,500
